sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
99,A.D.M PROJECT CONSULTANCY LTD,08155237,Private Limited Company,Active,United Kingdom,24/07/2012,,,"FIRST FLOOR, UNITS 3/4 CRANMERE COURT, LUSTLEIGH CLOSE",MATFORD BUSINESS PARK,EXETER,DEVON,UNITED KINGDOM,EX2 8PW,TOTAL EXEMPTION FULL,96090 - Other service activities n.e.c.,,,,http://business.data.gov.uk/id/company/08155237,,,,,,,,,,,,,,
100,ARTHENA HOUSE LIMITED,10608337,Private Limited Company,Active,United Kingdom,08/02/2017,,,CHURCHILL HOUSE 120 BUNNS LANE,MILL HILL,LONDON,,ENGLAND,,MICRO ENTITY,"46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",82990 - Other business support service activities n.e.c.,,,http://business.data.gov.uk/id/company/10608337,,,,,,,,,,,,,,
101,NEUROIMAGING LTD,11540433,Private Limited Company,Active,United Kingdom,28/08/2018,,,2 THE BARNS,TIDEFORD,SALTASH,,UNITED KINGDOM,PL12 5HN,TOTAL EXEMPTION FULL,86101 - Hospital activities,,,,http://business.data.gov.uk/id/company/11540433,,,,,,,,,,,,,,
102,ZSK DIGITAL CANVAS LIMITED,16949880,Private Limited Company,Active,United Kingdom,08/01/2026,,,6 PORTLAND BUSINESS CENTRE,MANOR HOUSE LANE,DATCHET,,ENGLAND,SL3 9EG,NO ACCOUNTS FILED,62012 - Business and domestic software development,74100 - specialised design activities,,,http://business.data.gov.uk/id/company/16949880,,,,,,,,,,,,,,
103,JLB DESIGN LIMITED,05860436,Private Limited Company,Active,United Kingdom,28/06/2006,,,PARK COTTAGE HIGH STREET,UPPER DEAN,HUNTINGDON,CAMBRIDGESHIRE,,PE28 0LY,MICRO ENTITY,"28110 - Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",71122 - Engineering related scientific and technical consulting activities,,,http://business.data.gov.uk/id/company/05860436,,,,,,,,,,,,,,
104,EVERYONE MATTERS SCHOOLS TRUST,10455406,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,01/11/2016,,,"EVERYONE MATTERS SCHOOLS TRUST, C/O RAINFORD HIGH SCHOOL, HIGHER LANE",RAINFORD,ST. HELENS,,ENGLAND,WA11 8NY,FULL,85310 - General secondary education,,,,http://business.data.gov.uk/id/company/10455406,,,,,,,,,,,,,,
105,QANVAS STUDIOS LTD,15383900,Private Limited Company,Active,United Kingdom,03/01/2024,,,01 FUTR LIMITED,CHAPLIN HOUSE WIDEWATER PLACE MOORHALL ROAD,HAREFIELD,UXBRIDGE,UNITED KINGDOM,UB9 6NS,MICRO ENTITY,90030 - Artistic creation,,,,http://business.data.gov.uk/id/company/15383900,,,,,,,,,,,,,,
106,ALUQO LTD,12498554,Private Limited Company,Active,United Kingdom,04/03/2020,,,UNIT 29,OAKLANDS BUSINESS PARK,FERNDALE,,WALES,CF43 4UG,TOTAL EXEMPTION FULL,28990 - Manufacture of other special-purpose machinery n.e.c.,,,,http://business.data.gov.uk/id/company/12498554,,,,,,,,,,,,,,
107,BYTECREST SOLUTIONS LTD,17427805,Private Limited Company,Active,United Kingdom,28/08/2026,,,2 GRANGEWICK ROAD,,GRAYS,,ENGLAND,RM16 2DW,NO ACCOUNTS FILED,62020 - Information technology consultancy activities,73110 - Advertising agencies,,,http://business.data.gov.uk/id/company/17427805,,,,,,,,,,,,,,
108,RYDER CUP ITALY LIMITED,12645658,Private Limited Company,Active,United Kingdom,04/06/2020,,,EUROPEAN TOUR BUILDING,WENTWORTH DRIVE,VIRGINIA WATER,SURREY,UNITED KINGDOM,GU25 4LX,SMALL,93199 - Other sports activities,,,,http://business.data.gov.uk/id/company/12645658,,,,,,,,,,,,,,
109,AUDIT9 LIMITED,08088394,Private Limited Company,Active,United Kingdom,30/05/2012,,,SUITE 105 MISTRAL HOUSE KINGFISHER WAY,SILVERLINK BUSINESS PARK,NEWCASTLE UPON TYNE,,ENGLAND,NE28 9NX,MICRO ENTITY,62012 - Business and domestic software development,,,,http://business.data.gov.uk/id/company/08088394,,,,,,,,,,,,,,
