sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
110,N & J MURPHY LIMITED,09484720,Private Limited Company,Active,United Kingdom,12/03/2015,,,BILLINGSHURST DENTAL PRACTICE,114 HIGH STREET,BILLINGSHURST,WEST SUSSEX,ENGLAND,RH14 9QS,TOTAL EXEMPTION FULL,86230 - Dental practice activities,,,,http://business.data.gov.uk/id/company/09484720,,,,,,,,,,,,,,
111,SXEFIT LTD,11149829,Private Limited Company,Active,United Kingdom,15/01/2018,,,17 ALFRED STREET,,HECKMONDWIKE,,ENGLAND,WF16 0JL,UNAUDITED ABRIDGED,93130 - Fitness facilities,,,,http://business.data.gov.uk/id/company/11149829,,,,,,,,,,,,,,
112,UNVEILS VISION LTD,13688346,Private Limited Company,Active,United Kingdom,19/10/2021,,,49 TEESWATER CLOSE,LONG LAWFORD,RUGBY,WARWICKSHIRE,ENGLAND,CV23 9GA,MICRO ENTITY,47910 - Retail sale via mail order houses or via Internet,,,,http://business.data.gov.uk/id/company/13688346,,,,,,,,,,,,,,
113,LECTITAN LIMITED,16787682,Private Limited Company,Active,United Kingdom,15/10/2025,,,167-169 GREAT PORTLAND STREET,5TH FLOOR,LONDON,,ENGLAND,W1W 5PF,NO ACCOUNTS FILED,62020 - Information technology consultancy activities,62090 - Other information technology service activities,,,http://business.data.gov.uk/id/company/16787682,,,,,,,,,,,,,,
114,FRESHBUILD LIMITED,08780811,Private Limited Company,Active,United Kingdom,19/11/2013,,,SHALIMAR,CRICKET GROUND ROAD,CHISLEHURST,KENT,,BR7 5HD,TOTAL EXEMPTION FULL,43999 - Other specialised construction activities n.e.c.,,,,http://business.data.gov.uk/id/company/08780811,,,,,,,,,,,,,,
115,SHILLING MERGERS LIMITED,07046876,Private Limited Company,Active,United Kingdom,16/10/2009,,,1ST FLOOR FALCON POINT PARK PLAZA,HEATH HAYES,CANNOCK,,ENGLAND,WS12 2DE,TOTAL EXEMPTION FULL,96090 - Other service activities n.e.c.,,,,http://business.data.gov.uk/id/company/07046876,,,,,,,,,,,,,,
116,PROSPERITY PROPERTY GROUP LIMITED,12629679,Private Limited Company,Active,United Kingdom,28/05/2020,,,1 DUFFIELD ROAD,,DERBY,,ENGLAND,DE1 3BB,TOTAL EXEMPTION FULL,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,http://business.data.gov.uk/id/company/12629679,,,,,,,,,,,,,,
117,GLO MCR LIMITED,14731745,Private Limited Company,Active,United Kingdom,15/03/2023,,,C/O PARKER WHITWOOD LTD OLD LLOYD CHAMBERS,MANCHESTER ROAD,ALTRINCHAM,,ENGLAND,WA14 5NS,MICRO ENTITY,96020 - Hairdressing and other beauty treatment,,,,http://business.data.gov.uk/id/company/14731745,,,,,,,,,,,,,,
118,TRIXPIXMEDIA LTD,SC392514,Private Limited Company,Active,United Kingdom,31/01/2011,,,BURNSIDE FARM,PARKGATE,DUMFRIES,DUMFRIES & GALLOWAY,SCOTLAND,DG1 3LU,MICRO ENTITY,01420 - Raising of other cattle and buffaloes,59113 - Television programme production activities,90030 - Artistic creation,,http://business.data.gov.uk/id/company/SC392514,,,,,,,,,,,,,,
119,HEYBRIDGE INVESTMENTS LTD,15881992,Private Limited Company,Active,United Kingdom,06/08/2024,,,4B HEYBRIDGE DRIVE,,ILFORD,,ENGLAND,IG6 1PE,MICRO ENTITY,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/15881992,,,,,,,,,,,,,,
