sample_id,company_number,company_name,candidate_vat,raw_match,source_url,source_domain,source_type,query_type,search_query,extraction_reason,company_number_on_page,company_name_on_page,entity_evidence,evidence_text
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,280499571,GB280499571,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,"OMMERCIAL LIMITED GB786663766 BIRCHWOOD CONSERVATORIES LIMITED GB797843163 BIRCHWOOD CONSTRUCTION & CAR PENTRY LIMI TED GB280499571 BIRCHWOOD CONSULTANCIES LTD GB267500504 Was this data useful? If you found the data here useful, PLEASE HELP US. We are"
22,04442079,BIRCHWOOD CLADDING SYSTEMS LIMITED,267500504,GB267500504,http://www.vat-check.co.uk/verify/vat_check.php/VATNumber/GB801699717,vat-check.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,"""04442079"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,"CONSERVATORIES LIMITED GB797843163 BIRCHWOOD CONSTRUCTION & CAR PENTRY LIMI TED GB280499571 BIRCHWOOD CONSULTANCIES LTD GB267500504 Was this data useful? If you found the data here useful, PLEASE HELP US. We are a start-up and believe in making inform"
43,SC248517,CRAIGHEAD & WOOLF LIMITED,635008071,GB635008071,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB635008071,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""SC248517"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,CRAIGHEAD & WOOLF LIMITED VAT sales tax information. VAT id GB635008071. Company registration number SC248517. Lookup / search / check company VAT registration information. Find a company's V
43,SC248517,CRAIGHEAD & WOOLF LIMITED,635008071,GB635008071,https://www.vat-lookup.co.uk/verify/vat_check.php/VATNumber/GB635008071/CompanyName/CRAIGHEAD+&+WOOLF+LIMITED+!!+CRAIGHEAD+&+WOOLF,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,"""SC248517"" site:vat-lookup.co.uk",GB_PREFIX,True,True,COMPANY_NUMBER,CRAIGHEAD & WOOLF LIMITED VAT sales tax information. VAT id GB635008071. Company registration number SC248517. Lookup / search / check company VAT registration information. Find a company's V
50,06521162,EARLY RISE SCAFFOLDING LIMITED,723384341,GB723384341,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,EARLY RISE SCAFFOLDING LIMITED VAT sales tax information. VAT id GB723384341. Company registration number 06521162. Lookup / search / check company VAT registration information. Find a company's V
50,06521162,EARLY RISE SCAFFOLDING LIMITED,898631659,GB898631659,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ade or recorded More information on EARLY RISE SCAFFOLDING LIMITED >> Companies At Post Code TR13 0SR AFFINA MARINE LTD GB898631659 ALGARNICK FARMS LTD. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC 
50,06521162,EARLY RISE SCAFFOLDING LIMITED,704523268,GB704523268,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,on EARLY RISE SCAFFOLDING LIMITED >> Companies At Post Code TR13 0SR AFFINA MARINE LTD GB898631659 ALGARNICK FARMS LTD. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DE
50,06521162,EARLY RISE SCAFFOLDING LIMITED,692909782,GB692909782,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,es At Post Code TR13 0SR AFFINA MARINE LTD GB898631659 ALGARNICK FARMS LTD. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DELVE & NANKERVIS LIMITED GB131629780 GEORGE S
50,06521162,EARLY RISE SCAFFOLDING LIMITED,768703983,GB768703983,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER, LTD GB898631659 ALGARNICK FARMS LTD. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DELVE & NANKERVIS LIMITED GB131629780 GEORGE SEAL LIMITED GB521390475 GRACELOFT LIMI
50,06521162,EARLY RISE SCAFFOLDING LIMITED,383912825,GB383912825,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,D. GB704523268 B. HARVEY PROPERTY SERVICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DELVE & NANKERVIS LIMITED GB131629780 GEORGE SEAL LIMITED GB521390475 GRACELOFT LIMITED GB133358970 HOLLANDS & LONG LIM
50,06521162,EARLY RISE SCAFFOLDING LIMITED,131629780,GB131629780,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ICES LTD GB692909782 CORNWALL SHED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DELVE & NANKERVIS LIMITED GB131629780 GEORGE SEAL LIMITED GB521390475 GRACELOFT LIMITED GB133358970 HOLLANDS & LONG LIMITED GB337144172 JOHN MITCHELL TRANSPO
50,06521162,EARLY RISE SCAFFOLDING LIMITED,521390475,GB521390475,http://vat-lookup.com/verify/vat_check.php/VATNumber/GB723384341,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,"""06521162"" VAT",GB_PREFIX,True,True,COMPANY_NUMBER,ED COMPANY LTD GB768703983 CTC SOUTH WEST LIMITED GB383912825 DELVE & NANKERVIS LIMITED GB131629780 GEORGE SEAL LIMITED GB521390475 GRACELOFT LIMITED GB133358970 HOLLANDS & LONG LIMITED GB337144172 JOHN MITCHELL TRANSPORT LIMITED GB383727424 Share pag
