sample_id,company_number,company_name,candidate_vat,evidence_rows,unique_domains,source_domains,source_types,query_types,entity_evidence_types,pre_hmrc_confidence,company_unique_vats,multiplicity_flag
130,11406651,JUST DESIGNER BRANDS LIMITED,324864588,1,1,vatsearch.co.uk,WEBPAGE,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
130,11406651,JUST DESIGNER BRANDS LIMITED,325056719,1,1,vatsearch.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,131629780,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,133358970,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,337144172,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,383727424,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,383912825,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,521390475,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,692909782,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,704523268,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,768703983,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
50,06521162,EARLY RISE SCAFFOLDING LIMITED,898631659,1,1,vat-lookup.com,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,11,REVIEW
86,10547971,M & A BRANDS LTD,160418335,1,1,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,6,REVIEW
86,10547971,M & A BRANDS LTD,175765957,1,1,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,6,REVIEW
86,10547971,M & A BRANDS LTD,304767501,1,1,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,6,REVIEW
86,10547971,M & A BRANDS LTD,360448307,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,6,REVIEW
86,10547971,M & A BRANDS LTD,422055242,1,1,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,6,REVIEW
86,10547971,M & A BRANDS LTD,427637967,1,1,vat-lookup.co.uk,VAT_LOOKUP,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,6,REVIEW
150,SC450443,AITKEN PROFESSIONAL SERVICES LIMITED,171135632,2,2,vat-finder.co.uk | vat-lookup.co.uk,SEARCH_SNIPPET | WEBPAGE,NAME_POSTCODE_GENERAL | VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,HIGH,1,NORMAL
43,SC248517,CRAIGHEAD & WOOLF LIMITED,635008071,2,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL | VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,1,NORMAL
106,12498554,ALUQO LTD,347020919,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
124,SC464934,ATLAS ENGINES LTD,187610292,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
134,04104009,ENGINEERING DIAMONDS LIMITED,272431866,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,NAME_POSTCODE_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
139,16650513,BYRECROFT LTD,500664621,1,1,vatnumberfinder.com,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NAME,LOW,1,NORMAL
142,05615719,ALDWYCH HOLDINGS LIMITED,888219670,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NAME_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
145,06595711,D & R BUILDING LIMITED,128383111,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NAME,LOW,1,NORMAL
160,12277319,AGP AUTOSERVICE LTD,339851858,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,1,NORMAL
161,05212950,MATT COX LTD,816091440,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,1,NORMAL
165,13883568,IVI FRESH LIMITED,437807766,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
180,10958121,GINASWORLDBOUTIQUE & TRAVEL LTD,322291432,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,1,NORMAL
20,11403509,DEVON FIRE & SECURITY LTD,324581311,1,1,vat-check.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
21,06649176,PJK ENGINEERING LTD,132842036,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
5,13965119,BACKSTORY BOOKS LTD,406068415,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NAME,COMPANY_NUMBER,MEDIUM,1,NORMAL
57,09359822,TORQUAY TENNIS CLUB LIMITED,496785415,1,1,formationdata.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
64,03822445,WELLOW HEALTH AND FITNESS LIMITED,744943016,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
80,01393294,MALLONCREST LIMITED,814233362,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,VAT_LOOKUP_COMPANY_NUMBER,COMPANY_NUMBER,MEDIUM,1,NORMAL
93,SC524754,TR PLUMBING & HEATING LTD,238984062,1,1,vat-lookup.co.uk,SEARCH_SNIPPET,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
96,15366267,FINCH JOHNSON HOLDINGS LIMITED,496785415,1,1,formationdata.co.uk,WEBPAGE,COMPANY_NUMBER_GENERAL,COMPANY_NUMBER,MEDIUM,1,NORMAL
